"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2016M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","97 260",""
"2016M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","114 205",""
"2016M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","109 645",""
"2016M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","106 325",""
"2016M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","101 395",""
"2016M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","109 840",""
"2016M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","105 465",""
"2016M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","103 560",""
"2016M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","99 175",""
"2016M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","124 170",""
"2016M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","119 055",""
"2016M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","119 120",""
"2016M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","114 545",""
"2016M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","138 290",""
"2016M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","133 285",""
"2016M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","123 440",""
"2016M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","118 900",""
"2016M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","82 695",""
"2016M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","78 160",""
"2016M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","74 800",""
"2016M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","70 285",""
"2016M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","63 045",""
"2016M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","58 945",""
"2017M01","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","61 975",""
"2017M01","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","57 335",""
"2017M02","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","59 465",""
"2017M02","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","54 815",""
"2017M03","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","66 470",""
"2017M03","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","61 295",""
"2017M04","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","50 100",""
"2017M04","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","46 030",""
"2017M05","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","58 055",""
"2017M05","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","53 575",""
"2017M06","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","57 060",""
"2017M06","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","52 775",""
"2017M07","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","59 600",""
"2017M07","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","55 180",""
"2017M08","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","62 285",""
"2017M08","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","57 650",""
"2017M09","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","60 135",""
"2017M09","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","55 575",""
"2017M10","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","60 310","d"
"2017M10","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","55 505","d"
"2017M11","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","36 830","d"
"2017M11","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","33 200","d"
"2017M12","European Union (28 countries)","Extra-EU28","Total","Total","Asylum applicant","Person","24 515","d"
"2017M12","European Union (28 countries)","Extra-EU28","Total","Total","First time applicant","Person","21 745","d"
